species,lev_up,lev_low,lam,tau,intens,a_stein,e_up,g_up,xmin,xmax,Flux_data,Err_data,Line_SN,Line_det,Flux_islat,Err_islat,Fit_SN,Fit_det,Flux_fit,Err_fit,FWHM_fit,FWHM_err,Centr_fit,Centr_err,Doppler,Red-chisq,RD_y
H2O,0_0_0|18_5_14,0_0_0|17_4_13,24.09926,0.0504233256923986,7.927617077926729,18.37,6377.89551,111.0,24.071392199922165,24.12542547774416,0.05403,0.02325,2.3,True,0.05403,0.02325,2.3,False,0.05403,0.02325,,,,,,,22.119
H2O,0_1_0|10_4_6,0_1_0|9_3_7,24.25377,0.0235898036516398,3.681801532603477,6.11,4681.40332,21.0,24.155452007664955,24.275619056277627,0.1202,0.03467,3.5,True,0.1202,0.03467,3.5,False,0.1202,0.03467,,,,,,,25.691
H2O,0_0_0|8_3_6,0_0_0|7_0_7,23.81676,0.2490211553763384,37.72040867234691,0.609,1447.57629,51.0,23.777500838164727,23.825453014351773,0.04795,0.0219,2.2,True,0.04795,0.0219,2.2,False,0.04795,0.0219,,,,,,,26.173
